feature,marketshare,keystone,days since keystone,reached 80%,days to 80%,reached 85%,days to 85%,reached 90%,days to 90%,reached 91%,days to 91%,reached 92%,days to 92%,reached 93%,days to 93%,reached 94%,days to 94%,reached 95%,days to 95%,reached 96%,days to 96%,reached 97%,days to 97%,reached 98%,days to 98%,reached 99%,days to 99%
object-fit,99.2,2020-01-15,1320,2017-04-15,0,2017-04-15,0,2017-07-05,0,2017-08-04,0,2017-10-04,0,2019-01-04,0,2019-09-05,0,2020-03-09,54,2020-08-04,202,2020-11-05,295,2021-11-04,659,2023-06-03,1235
object-values,97.68,2017-10-31,2126,2018-01-31,92,2018-02-05,97,2019-01-04,430,2019-04-03,519,2019-07-05,612,2019-11-04,734,2020-02-04,826,2020-05-08,920,2021-11-04,1465,2023-06-03,2041,not yet,n/a,not yet,n/a
ol-reversed,99.31,2020-01-15,1320,2015-08-27,0,2015-11-03,0,2016-08-02,0,2016-11-03,0,2017-04-03,0,2017-07-05,0,2017-09-04,0,2020-01-03,0,2020-07-17,184,2020-09-04,233,2021-02-05,387,2023-06-03,1235
once-event-listener,97.57,2017-10-31,2126,2018-02-07,99,2018-02-07,99,2019-02-03,460,2019-07-05,612,2019-09-05,674,2019-12-04,764,2020-03-05,856,2020-11-05,1101,2022-07-03,1706,2023-06-03,2041,not yet,n/a,not yet,n/a
outline,98.61,2017-04-11,2329,2012-11-30,0,2012-11-30,0,2012-11-30,0,2012-11-30,0,2012-11-30,0,2012-11-30,0,2012-11-30,0,2012-11-30,0,2012-11-30,0,2013-05-03,0,2022-02-04,1760,not yet,n/a
pad-start-end,97.61,2018-06-07,1907,2018-08-03,57,2018-12-04,180,2019-07-27,415,2019-07-27,415,2019-07-27,415,2019-12-04,545,2020-03-05,637,2020-09-04,820,2022-02-04,1338,2023-06-03,1822,not yet,n/a,not yet,n/a
pagevisibility,98.8,2016-12-16,2445,2014-09-03,0,2014-11-02,0,2015-12-04,0,2016-03-03,0,2016-07-03,0,2016-10-03,0,2017-02-02,48,2017-04-03,108,2017-11-03,322,2019-03-03,807,2020-02-04,1145,not yet,n/a
passive-event-listener,97.59,2017-10-17,2140,2017-07-05,0,2018-02-05,111,2019-01-04,444,2019-07-05,626,2019-09-05,688,2019-12-04,778,2020-03-05,870,2020-11-05,1115,2022-02-04,1571,2023-06-03,2055,not yet,n/a,not yet,n/a
path2d,97.55,2020-01-15,1320,2018-11-06,0,2019-11-04,0,2020-05-08,114,2020-08-04,202,2020-09-04,233,2020-11-05,295,2021-10-03,627,2022-07-03,900,2022-09-19,978,2023-06-03,1235,not yet,n/a,not yet,n/a
permissions-api,93.25,2022-09-12,349,2022-10-04,22,2022-12-09,88,2023-02-08,149,2023-03-03,172,2023-05-07,237,2023-06-03,264,not yet,n/a,not yet,n/a,not yet,n/a,not yet,n/a,not yet,n/a,not yet,n/a
pointer,97.35,2019-10-28,1399,2019-12-04,37,2020-02-04,99,2020-05-08,193,2020-11-05,374,2021-01-04,434,2021-02-19,480,2021-08-05,647,2022-06-07,953,2022-09-19,1057,2023-06-03,1314,not yet,n/a,not yet,n/a
prefers-color-scheme,96.56,2020-06-30,1153,2020-02-04,0,2020-08-04,35,2021-02-05,220,2021-04-04,278,2021-08-05,401,2022-02-04,584,2022-07-03,733,2022-10-04,826,2023-06-03,1068,not yet,n/a,not yet,n/a,not yet,n/a
prefers-reduced-motion,97.16,2020-02-25,1279,2019-10-06,0,2020-03-05,9,2020-08-04,161,2020-10-03,221,2020-11-05,254,2021-08-05,527,2022-02-04,710,2022-07-03,859,2023-06-03,1194,2023-06-03,1194,not yet,n/a,not yet,n/a
promise-finally,97.25,2018-12-30,1701,2018-10-18,0,2018-11-06,0,2019-11-04,309,2019-12-04,339,2020-02-04,401,2020-03-05,431,2020-10-03,643,2021-11-04,1040,2022-07-03,1281,2023-06-03,1616,not yet,n/a,not yet,n/a
proxy,97.77,2016-12-16,2445,2018-02-07,418,2018-02-07,418,2018-10-03,656,2018-11-06,690,2019-04-03,838,2019-07-05,931,2019-12-04,1083,2020-03-05,1175,2021-02-05,1512,2022-12-09,2184,not yet,n/a,not yet,n/a
rel-noopener,97.62,2020-01-15,1320,2018-02-07,0,2018-02-07,0,2019-07-05,0,2019-11-04,0,2020-01-03,0,2020-03-05,50,2020-08-04,202,2020-10-03,262,2021-11-04,659,2023-06-03,1235,not yet,n/a,not yet,n/a
rellist,97.64,2019-04-02,1608,2018-10-03,0,2019-06-04,63,2020-01-03,276,2020-03-05,338,2020-04-15,379,2020-07-17,472,2020-11-05,583,2021-12-03,976,2022-09-19,1266,2023-06-03,1523,not yet,n/a,not yet,n/a
resizeobserver,96.72,2020-03-24,1251,2020-06-05,73,2020-10-03,193,2021-01-04,286,2021-02-05,318,2021-07-04,467,2021-11-04,590,2022-07-03,831,2022-09-19,909,2023-06-03,1166,not yet,n/a,not yet,n/a,not yet,n/a
resource-timing,98.59,2018-03-29,1977,2017-04-15,0,2017-10-05,0,2017-12-04,0,2018-03-05,0,2018-05-06,38,2018-06-04,67,2018-08-03,127,2019-03-03,339,2019-07-05,463,2020-02-04,677,2022-06-07,1531,not yet,n/a
rest-parameters,97.8,2016-12-16,2445,2018-02-07,418,2018-02-07,418,2018-08-03,595,2018-11-06,690,2019-04-03,838,2019-07-05,931,2019-12-04,1083,2020-02-04,1145,2020-11-05,1420,2022-07-03,2025,not yet,n/a,not yet,n/a
screen-orientation,85.87,2023-03-27,153,2023-05-07,41,2023-06-03,68,not yet,n/a,not yet,n/a,not yet,n/a,not yet,n/a,not yet,n/a,not yet,n/a,not yet,n/a,not yet,n/a,not yet,n/a,not yet,n/a
serviceworkers,97.75,2018-04-30,1945,2018-05-06,6,2018-07-05,66,2019-01-04,249,2019-03-16,320,2019-07-05,431,2019-11-04,553,2020-02-04,645,2020-05-08,739,2021-11-04,1284,2023-06-03,1860,not yet,n/a,not yet,n/a
shadowdomv1,97.46,2020-01-15,1320,2020-07-05,172,2021-05-21,492,2021-05-21,492,2021-05-21,492,2021-05-21,492,2021-05-21,492,2021-05-21,492,2021-08-05,568,2022-07-03,900,2023-06-03,1235,not yet,n/a,not yet,n/a
srcset,98.12,2017-10-17,2140,2016-10-09,0,2016-12-03,0,2018-03-05,139,2018-06-04,230,2018-11-06,385,2019-03-16,515,2019-07-05,626,2019-12-04,778,2020-03-05,870,2022-02-04,1571,2023-06-03,2055,not yet,n/a
subresource-integrity,97.71,2018-04-30,1945,2018-12-28,242,2018-12-28,242,2019-03-03,307,2019-04-03,338,2019-07-05,431,2019-11-04,553,2020-01-03,613,2020-03-09,679,2021-11-04,1284,2023-06-03,1860,not yet,n/a,not yet,n/a
svg,99.38,2020-01-15,1320,2012-06-07,0,2013-01-09,0,2013-08-03,0,2014-01-03,0,2014-03-02,0,2014-05-05,0,2014-08-02,0,2015-07-02,0,2015-10-03,0,2016-02-03,0,2016-06-03,0,2017-06-04,0
svg-css,99,2017-10-17,2140,2012-10-30,0,2013-03-03,0,2014-10-02,0,2014-11-02,0,2014-11-02,0,2015-04-02,0,2016-10-03,0,2017-02-02,0,2017-04-03,0,2018-08-03,290,2019-05-03,563,2023-06-03,2055
svg-fragment,98.54,2018-03-29,1977,2015-07-02,0,2018-05-06,38,2018-06-04,67,2018-07-05,98,2018-08-03,127,2018-11-06,222,2019-09-05,525,2020-02-04,677,2020-10-03,919,2021-10-03,1284,2023-06-03,1892,not yet,n/a
svg-html5,99.87,2018-04-30,1945,2012-12-03,0,2013-06-02,0,2014-09-03,0,2014-11-02,0,2014-11-02,0,2015-02-12,0,2015-03-17,0,2015-03-17,0,2015-03-17,0,2015-06-03,0,2015-10-03,0,2016-08-02,0
svg-smil,98.55,2020-01-15,1320,2015-02-02,0,2016-06-03,0,2017-04-03,0,2017-08-04,0,2017-10-04,0,2019-03-03,0,2019-12-04,0,2020-03-09,54,2020-08-04,202,2020-11-05,295,2022-02-04,751,not yet,n/a
template,98.38,2017-04-11,2329,2017-03-05,0,2017-04-15,4,2017-04-15,4,2017-05-03,22,2018-06-23,438,2018-12-04,602,2019-07-05,815,2019-09-05,877,2020-03-05,1059,2021-08-05,1577,2023-06-03,2244,not yet,n/a
text-emphasis,94.84,2022-08-05,387,2022-04-05,0,2022-05-05,0,2022-06-07,0,2022-09-02,28,2022-09-02,28,2022-11-04,91,2023-06-03,302,not yet,n/a,not yet,n/a,not yet,n/a,not yet,n/a,not yet,n/a
textencoder,98,2020-01-15,1320,2017-06-04,0,2017-08-04,0,2019-01-04,0,2019-07-05,0,2019-09-05,0,2020-02-04,20,2020-07-05,172,2020-08-04,202,2021-02-05,387,2022-07-03,900,not yet,n/a,not yet,n/a
tls1-3,96.85,2020-09-16,1075,2020-02-04,0,2020-07-05,0,2021-01-04,110,2021-02-05,142,2021-08-05,323,2021-12-03,443,2022-07-03,655,2022-09-19,733,2023-06-03,990,not yet,n/a,not yet,n/a,not yet,n/a
transforms2d,99.06,2018-04-30,1945,2012-06-07,0,2012-12-03,0,2014-03-02,0,2014-05-05,0,2014-09-28,0,2014-11-02,0,2015-04-02,0,2016-11-03,0,2017-03-05,0,2018-04-03,0,2019-03-16,320,2020-04-15,716
transforms3d,98.55,2022-03-14,531,2014-11-02,0,2016-03-03,0,2016-12-03,0,2017-03-05,0,2017-05-03,0,2018-02-05,0,2018-10-03,0,2019-03-16,0,2019-09-05,0,2020-03-05,0,2022-07-03,111,not yet,n/a
unhandledrejection,97.48,2020-01-15,1320,2018-10-08,0,2019-07-05,0,2019-12-04,0,2020-02-04,20,2020-05-25,131,2020-08-04,202,2020-10-03,262,2021-02-05,387,2022-07-03,900,2023-06-03,1235,not yet,n/a,not yet,n/a
upgradeinsecurerequests,97.97,2018-04-30,1945,2018-04-03,0,2018-11-06,190,2019-07-05,431,2019-11-04,553,2020-01-03,613,2020-03-05,675,2020-07-17,809,2021-08-05,1193,2022-07-03,1525,2022-12-09,1684,not yet,n/a,not yet,n/a
urlsearchparams,97.74,2018-04-30,1945,2018-02-07,0,2018-02-07,0,2018-11-06,190,2019-03-03,307,2019-07-05,431,2019-09-05,493,2020-01-03,613,2020-03-05,675,2021-11-04,1284,2023-06-03,1860,not yet,n/a,not yet,n/a
user-timing,98.58,2017-09-19,2168,2017-04-15,0,2017-10-05,16,2017-12-04,76,2018-01-03,106,2018-02-05,139,2018-04-03,196,2018-07-05,289,2019-01-04,472,2019-07-05,654,2020-02-04,868,2022-07-03,1748,not yet,n/a
vector-effect,99.32,2020-01-15,1320,2021-04-26,467,2021-04-26,467,2021-04-26,467,2021-04-26,467,2021-04-26,467,2021-04-26,467,2021-04-26,467,2021-04-26,467,2021-04-26,467,2021-04-26,467,2021-04-26,467,2023-05-07,1208
viewport-unit-variants,89.46,2023-05-19,100,2023-02-08,0,2023-02-08,0,not yet,n/a,not yet,n/a,not yet,n/a,not yet,n/a,not yet,n/a,not yet,n/a,not yet,n/a,not yet,n/a,not yet,n/a,not yet,n/a
viewport-units,98.4,2017-10-17,2140,2017-04-15,0,2017-04-15,0,2017-08-04,0,2017-09-04,0,2018-03-05,139,2018-07-05,261,2019-03-03,502,2019-08-06,658,2020-02-04,840,2020-11-05,1115,2023-06-03,2055,not yet,n/a
wasm,97.44,2018-06-07,1907,2018-10-03,118,2019-03-03,269,2020-01-03,575,2020-03-05,637,2020-05-08,701,2020-09-04,820,2021-08-05,1155,2022-07-03,1487,2022-09-19,1565,2023-06-03,1822,not yet,n/a,not yet,n/a
webgl,98.54,2020-01-15,1320,2017-06-18,0,2017-06-18,0,2017-06-18,0,2017-06-18,0,2017-06-18,0,2017-06-18,0,2017-09-04,0,2018-03-05,0,2018-11-06,0,2019-04-03,0,2019-11-04,0,not yet,n/a
webgl2,95.59,2021-09-20,706,2021-11-04,45,2022-01-04,106,2022-04-05,197,2022-06-07,260,2022-07-03,286,2022-09-24,369,2023-02-08,506,2023-06-03,621,not yet,n/a,not yet,n/a,not yet,n/a,not yet,n/a
webp,96.35,2022-09-12,349,2019-07-05,0,2020-11-05,0,2021-02-05,0,2021-04-04,0,2021-06-04,0,2022-03-04,0,2022-04-05,0,2023-02-08,149,2023-06-03,264,not yet,n/a,not yet,n/a,not yet,n/a
will-change,98.1,2020-01-15,1320,2017-04-15,0,2017-04-15,0,2018-10-03,0,2019-03-03,0,2019-07-05,0,2019-12-04,0,2020-03-05,50,2020-08-04,202,2020-11-05,295,2022-07-03,900,2023-06-03,1235,not yet,n/a
woff2,98.01,2018-09-17,1805,2018-03-05,0,2018-11-06,50,2019-07-05,291,2019-07-27,313,2019-07-27,313,2019-07-27,313,2019-09-05,353,2020-02-04,505,2020-11-05,780,2022-07-03,1385,2023-06-03,1720,not yet,n/a
wordwrap,98.27,2018-11-13,1748,2012-02-28,0,2012-02-28,0,2012-02-28,0,2012-02-28,0,2012-02-28,0,2012-02-28,0,2012-02-28,0,2012-02-28,0,2012-02-28,0,2012-02-28,0,2012-02-28,0,not yet,n/a
