feature,marketshare,trackedMarketShare
css-descendant-gtgt,0,0
css-deviceadaptation,0,0
css-display-contents,0,0
css-scroll-timeline,0,0
css-text-box-trim,0,0
css-when-else,0,0
css3-attr,0,0
decorators,0,0
dnssec,0,0
document-policy,0,0
dommatrix,0,0
font-smooth,0,0
iframe-seamless,0,0
media-fragments,0,0
menu,0,0
mutation-events,0,0
native-filesystem-api,0,0
permissions-policy,0,0
portals,0,0
speech-recognition,0,0
temporal,0,0
text-decoration,0,0
wai-aria,0,0
webxr,0,0
xhtmlsmil,0,0
zstd,0,0
